lead_id,id,company_name,company,contact_name,name,buyer_name,email,phone,website,country,buyer_type,product_id,source,source_platform,source_url,snippet,description,email_status,validation_status,syntax_valid,valid,qualification_status,ai_score,ai_confidence,ai_reason,priority,outreach_status,is_demo,created_at,updated_at,discovered_at,is_duplicate,already_contacted,reason,classification,state,delivery_status,delivery_note,bounce_reason,failure_reason
6090c2ec398d,6090c2ec398d,Soundtopia Sales,Soundtopia: Singing Bowls for Sale,,,,procurement@soundtopia.com,,https://soundtopia.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.soundtopia.com/?srsltid=AfmBOooXDy9_mRs2YIZYoQSR12rXak7fA9eo2Aw74gSssmHFsv0-mpsp,"We specialize in authentic Crystal and Himalayan Singing Bowls, gongs, and sound therapy instruments,","We specialize in authentic Crystal and Himalayan Singing Bowls, gongs, and sound therapy instruments,",valid,missing,True,True,qualified,95,1.0,"Explicitly states specialization in Himalayan Singing Bowls and sound therapy instruments, indicating a perfect commercial fit.",high,eligible,False,2026-09-05T11:43:07.533484+00:00,2026-09-05T11:43:07.533484+00:00,2026-09-05T11:43:07.533484+00:00,False,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOooW1DE18DRGFVBa0GyZJgmFzCxKPElPASXscjt5ZP-3v-t7ZM0u,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-05T11:43:07.544235+00:00,2026-09-05T11:43:07.544235+00:00,2026-09-05T11:43:07.544235+00:00,False,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,tibetan-singing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOorAEccbXWh0PaUyDW_fljrnro2S_3gRazSuyjyP4Hx3NRdlbCpM,MasterpieceTM Tibetan Singing Bowl $ 199.00. Bowl Set $ 399.00. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com,MasterpieceTM Tibetan Singing Bowl $ 199.00. Bowl Set $ 399.00. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com,valid,valid,True,True,qualified,90,0.97,"This company directly advertises 'Wholesale Singing Bowls' and provides contact information, indicating a strong B2B interest in sourcing or distributing the product.",high,eligible,False,2026-09-05T12:05:40.119446+00:00,2026-09-05T12:05:40.119446+00:00,2026-09-05T12:05:40.119446+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOoroeWtOE75Enu1CiKX5dFWVvmIjcqkT2zopRxyqUVMTEeDfCI-c,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T13:16:25.430024+00:00,2026-09-07T13:16:25.430024+00:00,2026-09-07T13:16:25.430024+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOoqPfz5CbicgLA_XyI64R_TbPllMc84ha5Oib6Z0y2tLb-CPt36y,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T15:35:48.930077+00:00,2026-09-07T15:35:48.930077+00:00,2026-09-07T15:35:48.930077+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOoqXnGn7PcJxWPtwTEB-sJcncUAFfgZdwQ4rWMt-bNYkYlFdc4lv,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T15:36:06.346729+00:00,2026-09-07T15:36:06.346729+00:00,2026-09-07T15:36:06.346729+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOorPYhp8q0Ued1_TafsSM2_xgZqxJzdhWYzgavxAH_UkuNvn9uez,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T15:45:11.727450+00:00,2026-09-07T15:45:11.727450+00:00,2026-09-07T15:45:11.727450+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOoo8Pz8KcIDBqEosaSVF5f92kA0B6cvyn_luG--ptVXHPrWweAfV,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T15:50:57.619009+00:00,2026-09-07T15:50:57.619009+00:00,2026-09-07T15:50:57.619009+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOort_m0jaX2lf_8pwEhMabxaBTToITJTOP6-Yy51kXuR-4whAy0k,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T16:25:52.731279+00:00,2026-09-07T16:25:52.731279+00:00,2026-09-07T16:25:52.731279+00:00,True,False,Syntax Valid,business,,,,,
987eccb29962,987eccb29962,Singing Bowls,Singing Bowls,,,,info@dharmashop.com,800-886-5551,https://dharmashop.com,United States,Wholesale Importer,himalayan-sound-healing-bowls,web_search,web_search,https://www.dharmashop.com/collections/wholesale-singing-bowls?srsltid=AfmBOoqdMeWf2MGcJGOB7RFLpq_8t3oXZ6oMWaL5dGyTwIuOmBW56Cyh,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,Singing Bowl Set of 3 $ 437.00. Tibetan Healing Prayer ・ s Wholesale Singing Bowls. Contact us or order by phone at 800-886-5551 Email: info@dharmashop.com ・ ...,valid,valid,True,True,qualified,90,1.0,"Directly sells singing bowls and explicitly mentions wholesale, indicating a strong commercial interest in sourcing.",high,eligible,False,2026-09-07T16:31:50.539210+00:00,2026-09-07T16:31:50.539210+00:00,2026-09-07T16:31:50.539210+00:00,True,False,Syntax Valid,business,,,,,
